employee_id,date,status,department
EMP001,2026-02-02,Work From Home,IT
EMP001,2026-02-03,Absent,IT
EMP001,2026-02-04,Present,IT
EMP001,2026-02-05,Present,IT
EMP001,2026-02-06,Present,IT
EMP001,2026-02-09,Present,IT
EMP001,2026-02-10,Leave,IT
EMP001,2026-02-11,Present,IT
EMP001,2026-02-12,Absent,IT
EMP001,2026-02-13,Present,IT
EMP001,2026-02-16,Work From Home,IT
EMP001,2026-02-17,Leave,IT
EMP001,2026-02-18,Present,IT
EMP001,2026-02-19,Present,IT
EMP001,2026-02-20,Present,IT
EMP001,2026-02-23,Present,IT
EMP001,2026-02-24,Present,IT
EMP001,2026-02-25,Present,IT
EMP001,2026-02-26,Present,IT
EMP001,2026-02-27,Present,IT
EMP001,2026-03-02,Present,IT
EMP001,2026-03-03,Present,IT
EMP001,2026-03-04,Present,IT
EMP001,2026-03-05,Present,IT
EMP001,2026-03-06,Absent,IT
EMP001,2026-03-09,Present,IT
EMP001,2026-03-10,Present,IT
EMP001,2026-03-11,Present,IT
EMP001,2026-03-12,Present,IT
EMP001,2026-03-13,Present,IT
EMP001,2026-03-16,Present,IT
EMP001,2026-03-17,Present,IT
EMP001,2026-03-18,Work From Home,IT
EMP001,2026-03-19,Work From Home,IT
EMP001,2026-03-20,Absent,IT
EMP001,2026-03-23,Present,IT
EMP001,2026-03-24,Present,IT
EMP001,2026-03-25,Present,IT
EMP001,2026-03-26,Present,IT
EMP001,2026-03-27,Present,IT
EMP001,2026-03-30,Present,IT
EMP001,2026-03-31,Present,IT
EMP001,2026-04-01,Work From Home,IT
EMP001,2026-04-02,Present,IT
EMP001,2026-04-03,Present,IT
EMP001,2026-04-06,Present,IT
EMP001,2026-04-07,Present,IT
EMP001,2026-04-08,Present,IT
EMP001,2026-04-09,Present,IT
EMP001,2026-04-10,Work From Home,IT
EMP001,2026-04-13,Absent,IT
EMP001,2026-04-14,Work From Home,IT
EMP001,2026-04-15,Work From Home,IT
EMP001,2026-04-16,Present,IT
EMP001,2026-04-17,Work From Home,IT
EMP001,2026-04-20,Present,IT
EMP001,2026-04-21,Present,IT
EMP001,2026-04-22,Present,IT
EMP001,2026-04-23,Present,IT
EMP001,2026-04-24,Present,IT
EMP001,2026-04-27,Present,IT
EMP001,2026-04-28,Leave,IT
EMP001,2026-04-29,Present,IT
EMP001,2026-04-30,Present,IT
EMP001,2026-05-01,Present,IT
EMP001,2026-05-04,Present,IT
EMP001,2026-05-05,Absent,IT
EMP001,2026-05-06,Present,IT
EMP001,2026-05-07,Work From Home,IT
EMP001,2026-05-08,Absent,IT
EMP001,2026-05-11,Present,IT
EMP001,2026-05-12,Present,IT
EMP001,2026-05-13,Leave,IT
EMP001,2026-05-14,Present,IT
EMP001,2026-05-15,Absent,IT
EMP001,2026-05-18,Absent,IT
EMP001,2026-05-19,Present,IT
EMP001,2026-05-20,Present,IT
EMP001,2026-05-21,Present,IT
EMP001,2026-05-22,Leave,IT
EMP001,2026-05-25,Present,IT
EMP001,2026-05-26,Present,IT
EMP001,2026-05-27,Present,IT
EMP001,2026-05-28,Present,IT
EMP001,2026-05-29,Present,IT
EMP001,2026-06-01,Absent,IT
EMP001,2026-06-02,Present,IT
EMP001,2026-06-03,Leave,IT
EMP001,2026-06-04,Present,IT
EMP001,2026-06-05,Present,IT
EMP001,2026-06-08,Absent,IT
EMP001,2026-06-09,Absent,IT
EMP001,2026-06-10,Present,IT
EMP001,2026-06-11,Absent,IT
EMP001,2026-06-12,Present,IT
EMP001,2026-06-15,Present,IT
EMP001,2026-06-16,Present,IT
EMP001,2026-06-17,Present,IT
EMP001,2026-06-18,Present,IT
EMP001,2026-06-19,Present,IT
EMP001,2026-06-22,Present,IT
EMP001,2026-06-23,Present,IT
EMP001,2026-06-24,Present,IT
EMP001,2026-06-25,Work From Home,IT
EMP001,2026-06-26,Present,IT
EMP001,2026-06-29,Present,IT
EMP001,2026-06-30,Absent,IT
EMP001,2026-07-01,Present,IT
EMP001,2026-07-02,Present,IT
EMP001,2026-07-03,Present,IT
EMP001,2026-07-06,Present,IT
EMP001,2026-07-07,Work From Home,IT
EMP001,2026-07-08,Absent,IT
EMP001,2026-07-09,Present,IT
EMP001,2026-07-10,Leave,IT
EMP001,2026-07-13,Absent,IT
EMP001,2026-07-14,Present,IT
EMP001,2026-07-15,Leave,IT
EMP001,2026-07-16,Present,IT
EMP001,2026-07-17,Absent,IT
EMP001,2026-07-20,Work From Home,IT
